date,cash,holdings_value,total_equity,kospi_close
2026-08-23,3877780.1503515616,96122219.84964845,100000000.0,6912.95
2026-08-24,23993380.15035156,72806851.47722656,96800231.62757812,6696.96
2026-08-25,3188380.1503515616,93782785.5613086,96971165.71166016,6742.74
2026-08-26,24481060.15035156,71146684.20585938,95627744.35621096,6808.21
2026-08-29,2910000.1503515616,93934580.9151172,96844581.06546876,6788.88
2026-08-31,2910000.1503515616,95902150.87328126,98812151.02363282,6820.02
2026-09-01,2910000.1503515616,95106936.98029298,98016937.13064452,6835.8
2026-09-02,2910000.1503515616,92545366.229375,95455366.37972656,6562.72
2026-09-03,27930000.15035156,66351506.08984375,94281506.2401953,6579.48
2026-09-04,2927586.130422361,92207066.3982495,95134652.52867186,6687.21
2026-09-08,2927586.130422361,94046261.27955931,96973847.4099817,6995.39
2026-09-09,25705296.13042236,71431768.99044678,97137065.12086913,6995.39
