date,cash,holdings_value,total_equity,kospi_close
2026-08-14,40291640.0,59708360.0,100000000.0,6813.34
2026-08-23,56523651.343969725,35608268.656030275,92131920.0,6912.95
2026-08-24,28340641.343969733,62030485.923266605,90371127.26723634,6696.96
2026-08-25,14945641.343969733,75824185.97581787,90769827.3197876,6742.74
2026-08-26,26886961.343969733,62446965.12866211,89333926.47263184,6808.21
2026-08-29,21135567.322595224,69039169.59332275,90174736.91591798,6788.88
2026-08-31,4522247.322595224,85827590.09741211,90349837.42000732,6820.02
2026-09-01,16943147.322595224,70700480.12011719,87643627.44271241,6835.8
2026-09-02,42801391.51510621,42838563.89335938,85639955.4084656,6562.72
2026-09-03,42794062.02944947,43010402.04180908,85804464.07125854,6579.48
2026-09-04,42794062.02944947,43503660.13097412,86297722.16042359,6687.21
2026-09-08,42794062.02944947,44544610.11782105,87338672.14727053,6995.39
2026-09-09,45908082.02944947,41536043.30711059,87444125.33656007,6995.39
