date,cash,holdings_value,total_equity,kospi_close
2026-08-23,40680000.00000031,59319999.99999969,100000000.0,6912.95
2026-08-24,59745780.000232354,35897819.999767646,95643600.0,6696.96
2026-08-25,26627837.68844764,69960200.0,96588037.68844764,6742.74
2026-08-26,12188237.68844764,84212200.0,96400437.68844764,6808.21
2026-08-29,4862466.885011639,92386870.803436,97249337.68844764,6788.88
2026-08-31,20415066.88501164,77594278.330422,98009345.21543364,6820.02
2026-09-01,28346586.885011643,66051789.052418,94398375.93742964,6835.8
2026-09-02,69226188.93335764,22238400.0,91464588.93335764,6562.72
2026-09-03,12232496.317543432,78454192.61581421,90686688.93335764,6579.48
2026-09-04,17603796.317543432,72406013.01455078,90009809.3320942,6687.21
2026-09-08,31676697.006724957,58921243.127774045,90597940.134499,6995.39
2026-09-09,25244556.294925302,72217478.52876024,97462034.82368554,6995.39
