date,code,name,action,quantity,price,amount,reason
2026-08-23,032830,삼성생명,buy,45.0,328500.0,14782500.0,"SMA5 +8.6%·SMA20 +12.2% 위 정배열, 예측 5일 수익률 +4.4% — 추세 추종 매수 조건 충족"
2026-08-23,005935,삼성전자우,buy,72.0,207000.0,14904000.0,"SMA5 +8.3%·SMA20 +15.9% 위 정배열, 예측 5일 수익률 +0.7% — 추세 추종 매수 조건 충족"
2026-08-23,KRW-DOGE,도지코인,buy,118110.23622047,127.0,14999999.99999969,"SMA5 +7.1%·SMA20 +22.3% 위 정배열, 예측 5일 수익률 +1.3% — 추세 추종 매수 조건 충족"
2026-08-23,028260,삼성물산,buy,37.0,395500.0,14633500.0,"SMA5 +6.6%·SMA20 +15.6% 위 정배열, 예측 5일 수익률 +0.0% — 추세 추종 매수 조건 충족"
2026-08-24,032830,삼성생명,sell,45.0,285500.0,12847500.0,평단가 대비 -13.1% — 손절 기준(-6%) 도달로 매도
2026-08-24,005935,삼성전자우,sell,72.0,189300.0,13629600.0,평단가 대비 -8.6% — 손절 기준(-6%) 도달로 매도
2026-08-24,KRW-DOGE,도지코인,sell,118110.23622047,127.0,14999999.99999969,예측 수익률이 -0.4%로 음전환 — 신호 소멸로 매도
2026-08-24,028260,삼성물산,sell,37.0,364500.0,13486500.0,평단가 대비 -7.8% — 손절 기준(-6%) 도달로 매도
2026-08-24,257720,실리콘투,buy,290.0,49450.0,14340500.0,"SMA5 +6.2%·SMA20 +23.0% 위 정배열, 예측 5일 수익률 +4.3% — 추세 추종 매수 조건 충족"
2026-08-24,KRW-XRP,엑스알피(리플),buy,6991.49122807,2052.0,14346539.99999964,"SMA5 +3.9%·SMA20 +30.4% 위 정배열, 예측 5일 수익률 +7.2% — 추세 추종 매수 조건 충족"
2026-08-24,KRW-SOL,솔라나,buy,54.87656012,131400.0,7210779.999768,"SMA5 +2.8%·SMA20 +17.2% 위 정배열, 예측 5일 수익률 +1.4% — 추세 추종 매수 조건 충족"
2026-08-25,KRW-XRP,엑스알피(리플),sell,6991.49122807,2047.0,14311582.54385929,RSI 80 — 과매수 구간 진입으로 매도
2026-08-25,KRW-SOL,솔라나,sell,54.87656012,136300.0,7479675.144356,RSI 86 — 과매수 구간 진입으로 매도
2026-08-25,001820,삼화콘덴서,buy,138.0,104900.0,14476200.0,"SMA5 +9.4%·SMA20 +24.6% 위 정배열, 예측 5일 수익률 +2.8% — 추세 추종 매수 조건 충족"
2026-08-25,011070,LG이노텍,buy,24.0,602000.0,14448000.0,"SMA5 +3.4%·SMA20 +7.7% 위 정배열, 예측 5일 수익률 +5.6% — 추세 추종 매수 조건 충족"
2026-08-25,005935,삼성전자우,buy,74.0,194500.0,14393000.0,"SMA5 +1.8%·SMA20 +8.1% 위 정배열, 예측 5일 수익률 +2.2% — 추세 추종 매수 조건 충족"
2026-08-25,475150,SK이터닉스,buy,210.0,55200.0,11592000.0,"SMA5 +0.9%·SMA20 +5.4% 위 정배열, 예측 5일 수익률 +3.2% — 추세 추종 매수 조건 충족"
2026-08-26,006360,GS건설,buy,382.0,37800.0,14439600.0,"SMA5 +7.7%·SMA20 +18.7% 위 정배열, 예측 5일 수익률 +3.6% — 추세 추종 매수 조건 충족"
