date,cash,holdings_value,total_equity,kospi_close
2026-08-23,83415000.0,16585000.0,100000000.0,6912.95
2026-08-24,78967000.0,19319000.0,98286000.0,6696.96
2026-08-25,82207000.0,14094000.0,96301000.0,6742.74
2026-08-26,70151000.0,26411000.0,96562000.0,6808.21
2026-08-29,58334000.0,38553000.0,96887000.0,6788.88
2026-08-31,66490505.48172933,30494494.51827067,96985000.0,6820.02
2026-09-01,43465238.03880188,52995761.96119812,96461000.0,6835.8
2026-09-02,49433442.21377692,44000731.75982449,93434173.97360142,6562.72
2026-09-03,48055867.72041218,44922494.51827067,92978362.23868284,6579.48
2026-09-04,48055867.72041218,44285894.51827067,92341762.23868284,6687.21
2026-09-08,50328899.20048003,41814063.03820282,92142962.23868284,6995.39
2026-09-09,45844593.65226578,46082794.51827067,91927388.17053646,6995.39
2026-09-10,36008661.65648426,55918726.5140522,91927388.17053646,6995.39
