date,code,name,action,quantity,price,amount,reason
2026-08-23,032830,삼성생명,buy,24.0,328500.0,7884000.0,"당일 +10.6% 급등(4% 브레이크아웃), 거래량 1.8배, 종가위치 99% — 모멘텀 버스트 매수 조건 충족"
2026-08-23,028260,삼성물산,buy,22.0,395500.0,8701000.0,"당일 +5.7% 급등(4% 브레이크아웃), 거래량 1.3배, 종가위치 86% — 모멘텀 버스트 매수 조건 충족"
2026-08-24,032830,삼성생명,sell,24.0,285500.0,6852000.0,"ATR14(28,222.1) × 1.5배 손절가 286,167원 이하로 하락 — 손절"
2026-08-24,008930,한미사이언스,buy,200.0,56500.0,11300000.0,"당일 +25.7% 급등(4% 브레이크아웃), 거래량 23.4배, 종가위치 92% — 모멘텀 버스트 매수 조건 충족"
2026-08-25,008930,한미사이언스,sell,200.0,46300.0,9260000.0,"ATR14(3,851.2) × 1.5배 손절가 50,723원 이하로 하락 — 손절"
2026-08-25,011070,LG이노텍,buy,10.0,602000.0,6020000.0,"당일 +5.6% 급등(4% 브레이크아웃), 거래량 1.0배, 종가위치 97% — 모멘텀 버스트 매수 조건 충족"
2026-08-26,003230,삼양식품,buy,8.0,1507000.0,12056000.0,"당일 +5.4% 급등(4% 브레이크아웃), 거래량 1.4배, 종가위치 72% — 모멘텀 버스트 매수 조건 충족"
2026-08-29,192820,코스맥스,buy,39.0,303000.0,11817000.0,"당일 +7.1% 급등(4% 브레이크아웃), 거래량 2.6배, 종가위치 87% — 모멘텀 버스트 매수 조건 충족"
2026-08-31,192820,코스맥스,sell,39.0,300000.0,11700000.0,예측 수익률이 -1.8%로 음전환 — 신호 소멸로 매도
2026-08-31,KRW-TT,썬더코어,buy,6419374.12730194,0.552,3543494.518270671,"당일 +214.7% 급등(4% 브레이크아웃), 거래량 16.2배, 종가위치 72% — 모멘텀 버스트 매수 조건 충족"
2026-09-01,KRW-SC,시아코인,buy,5498866.74666237,1.37,7533447.442927447,"당일 +60.4% 급등(4% 브레이크아웃), 거래량 123.2배, 종가위치 72% — 모멘텀 버스트 매수 조건 충족"
2026-09-01,067290,JW신약,buy,2392.0,2990.0,7152080.0,"당일 +30.0% 급등(4% 브레이크아웃), 거래량 1.1배, 종가위치 100% — 모멘텀 버스트 매수 조건 충족"
2026-09-01,004310,현대약품,buy,1006.0,8290.0,8339740.0,"당일 +29.9% 급등(4% 브레이크아웃), 거래량 3.1배, 종가위치 100% — 모멘텀 버스트 매수 조건 충족"
2026-09-02,KRW-SC,시아코인,sell,5498866.74666237,1.04,5718821.416528865,ATR14(0.1) × 1.5배 손절가 1원 이하로 하락 — 손절
2026-09-02,067290,JW신약,sell,2392.0,3100.0,7415200.0,예측 수익률이 -7.5%로 음전환 — 신호 소멸로 매도
2026-09-02,004310,현대약품,sell,1006.0,7570.0,7615420.0,예측 수익률이 -1.2%로 음전환 — 신호 소멸로 매도
2026-09-02,KRW-LA,라그랑주,buy,65274.0607862,96.1,6272837.24155382,"당일 +15.6% 급등(4% 브레이크아웃), 거래량 4.4배, 종가위치 71% — 모멘텀 버스트 매수 조건 충족"
2026-09-02,008930,한미사이언스,buy,178.0,47800.0,8508400.0,"당일 +4.4% 급등(4% 브레이크아웃), 거래량 2.2배, 종가위치 77% — 모멘텀 버스트 매수 조건 충족"
2026-09-03,011070,LG이노텍,sell,10.0,556000.0,5560000.0,예측 수익률이 -1.7%로 음전환 — 신호 소멸로 매도
2026-09-03,KRW-LA,라그랑주,sell,65274.0607862,87.3,5698425.50663526,예측 수익률이 -6.4%로 음전환 — 신호 소멸로 매도
2026-09-03,000810,삼성화재,buy,18.0,702000.0,12636000.0,"당일 +6.8% 급등(4% 브레이크아웃), 거래량 2.4배, 종가위치 94% — 모멘텀 버스트 매수 조건 충족"
2026-09-08,003230,삼양식품,sell,8.0,1330000.0,10640000.0,"ATR14(76,689.0) × 1.5배 손절가 1,391,967원 이하로 하락 — 손절"
2026-09-08,KRW-WLD,월드코인,buy,13473.37925915,621.0,8366968.51993215,"당일 +9.4% 급등(4% 브레이크아웃), 거래량 3.5배, 종가위치 74% — 모멘텀 버스트 매수 조건 충족"
